path,run_id,case_id,init_time_utc,provenance,domains,vars,physics,wrfout_count,wrfinput_count,wrfbdy_count,met_em_count,sidecar_cpu_run_dir
/mnt/data/canairy_meteo/runs/wrf_l3/20260530_18z_l3_24h_20260531T050849Z,20260530_18z_l3_24h_20260531T050849Z,20260530_18z,2026-05-30T18:00:00+00:00,CPU-WRF,"d01:2 L0-1, d02:2 L0-1, d03:2 L0-1, d04:2 L0-1, d05:2 L0-1","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",10,5,1,65,
/mnt/data/canairy_meteo/runs/wrf_l3/20260531_18z_l3_24h_20260601T125256Z,20260531_18z_l3_24h_20260601T125256Z,20260531_18z,2026-05-31T18:00:00+00:00,CPU-WRF,"d01:2 L0-1, d02:2 L0-1, d03:2 L0-1, d04:2 L0-1, d05:2 L0-1","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR","mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",10,5,1,65,
/mnt/data/canairy_meteo/gate_2way_v013/out,out,,2026-06-01T03:00:00+00:00,GPU/JAX GPUWRF,"d01:12 L-8-3, d02:12 L-8-3, d03:12 L-8-3","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,36,0,0,0,
/mnt/data/canairy_meteo/gate_2way_v013c/out,out,,2026-06-01T03:00:00+00:00,GPU/JAX GPUWRF,"d01:14 L-8-5, d02:14 L-8-5, d03:14 L-8-5","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,42,0,0,0,
/tmp/v0120_powered_tost_runs/l2_d02_20260429_18z_l2_72h_20260524T204451Z,l2_d02_20260429_18z_l2_72h_20260524T204451Z,20260429_18z,2026-04-29T18:00:00+00:00,GPU/JAX GPUWRF,"d01:16 L1-16, d02:16 L1-16","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",-,32,0,0,0,
/mnt/data/canairy_meteo/gate_2way_d02_v013/out,out,20260531_18z,2026-05-31T18:00:00+00:00,GPU/JAX GPUWRF,"d01:24 L1-24, d02:24 L1-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",d01:cu=1 gwd=1; d02:cu=0 gwd=1,48,0,0,0,
/mnt/data/canairy_meteo/gate_gwd_nested_v013b/out,out,20260531_18z,2026-05-31T18:00:00+00:00,GPU/JAX GPUWRF,"d01:24 L1-24, d02:24 L1-24, d03:24 L1-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",d01:cu=1 gwd=1; d02:cu=0 gwd=1; d03:cu=0 gwd=1,72,0,0,0,
/mnt/data/canairy_meteo/gate_revalidate_gwd8/out,out,20260531_18z,2026-05-31T18:00:00+00:00,GPU/JAX GPUWRF,"d01:24 L1-24, d02:24 L1-24, d03:24 L1-24","surf=T2,U10,V10,PSFC,RAINNC; 3d=T,U,V,W,QVAPOR",d01:cu=1 gwd=0; d02:cu=0 gwd=0; d03:cu=0 gwd=0,72,0,0,0,
/home/enric/src/wrf_gpu2/.claude/worktrees/gpt-canary-stats/proofs/m20/tost_run/gpu_wrfout/case2_L2,case2_L2,20260509_18z,2026-05-09T18:00:00+00:00,GPU/JAX proof-output,d02:34 L39-72,"surf=T2,U10,V10; 3d=-",-,34,0,0,0,/mnt/data/canairy_meteo/runs/wrf_l2/20260509_18z_l2_72h_20260511T190519Z
/home/enric/src/wrf_gpu2/.claude/worktrees/gpt-canary-stats/proofs/m20/tost_run/gpu_wrfout/case3_L3,case3_L3,20260521_18z,2026-05-21T18:00:00+00:00,GPU/JAX proof-output,d02:24 L1-24,"surf=T2,U10,V10; 3d=-",-,24,0,0,0,/mnt/data/canairy_meteo/runs/wrf_l3/20260521_18z_l3_24h_20260522T133443Z
/home/enric/src/wrf_gpu2/.claude/worktrees/gpt-canary-stats/proofs/m20/tost_run/gpu_wrfout/case1_L2,case1_L2,20260529_18z,2026-05-29T18:00:00+00:00,GPU/JAX proof-output,d02:72 L1-72,"surf=T2,U10,V10; 3d=-",-,72,0,0,0,/mnt/data/canairy_meteo/runs/wrf_l2/20260529_18z_l2_72h_20260530T054804Z
/home/enric/src/wrf_gpu2/.claude/worktrees/gpt-canary-stats/proofs/m20/tost_run/gpu_wrfout/case1_L3,case1_L3,20260529_18z,2026-05-29T18:00:00+00:00,GPU/JAX proof-output,d02:24 L1-24,"surf=T2,U10,V10; 3d=-",-,24,0,0,0,/mnt/data/canairy_meteo/runs/wrf_l3/20260529_18z_l3_24h_20260530T054804Z
/mnt/data/canairy_meteo/runs/terrain_sweep/elmedano_patch/wps_l3,wps_l3,,,forcing/input-only,-,-,-,0,0,0,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/elmedano_patch/wrf_l3_25h,wrf_l3_25h,,,forcing/input-only,-,-,"mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",0,3,1,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/pine_revert/wps_l3,wps_l3,,,forcing/input-only,-,-,-,0,0,0,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/pine_revert/wrf_l3_25h,wrf_l3_25h,,,forcing/input-only,-,-,"mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",0,3,1,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/v1_control/wps_l3,wps_l3,,,forcing/input-only,-,-,-,0,0,0,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/v21_fixed/wps_l3,wps_l3,,,forcing/input-only,-,-,-,0,0,0,39,
/mnt/data/canairy_meteo/runs/terrain_sweep/v21_fixed/wrf_l3_25h,wrf_l3_25h,,,forcing/input-only,-,-,"mp_physics=8, 8, 8 bl_pbl_physics=5, 5, 5 sf_sfclay_physics=5, 5, 5 ra_lw_physics=4, 4, 4 ra_sw_physics=4, 4, 4 cu_physics=1, 0, 0",0,3,1,39,
/mnt/data/canairy_meteo/runs/wps_cases/20260428_18z_72h/l3,l3,20260428_18z,2026-04-28T18:00:00+00:00,forcing/input-only,-,-,-,0,0,0,65,
/mnt/data/canairy_meteo/runs/wps_cases/20260429_18z_72h/l3,l3,20260429_18z,2026-04-29T18:00:00+00:00,forcing/input-only,-,-,-,0,0,0,65,
/mnt/data/canairy_meteo/runs/wrf_l2/20260429_18z_l2_72h_20260524T204451Z,20260429_18z_l2_72h_20260524T204451Z,20260429_18z,2026-04-29T18:00:00+00:00,forcing/input-only,-,-,"mp_physics=8, 8 bl_pbl_physics=5, 5 sf_sfclay_physics=5, 5 ra_lw_physics=4, 4 ra_sw_physics=4, 4 cu_physics=1, 0",0,2,1,65,
/mnt/data/canairy_meteo/runs/wrf_l3/20260429_18z_l3_24h_20260524T204451Z,20260429_18z_l3_24h_20260524T204451Z,20260429_18z,2026-04-29T18:00:00+00:00,forcing/input-only,-,-,"mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",0,5,1,65,
/mnt/data/canairy_meteo/runs/wrf_l2/20260430_18z_l2_72h_20260520T191306Z,20260430_18z_l2_72h_20260520T191306Z,20260430_18z,2026-04-30T18:00:00+00:00,forcing/input-only,-,-,"mp_physics=8, 8 bl_pbl_physics=5, 5 sf_sfclay_physics=5, 5 ra_lw_physics=4, 4 ra_sw_physics=4, 4 cu_physics=1, 0",0,2,1,0,
/mnt/data/canairy_meteo/runs/wrf_l3/20260430_18z_l3_24h_20260520T191306Z,20260430_18z_l3_24h_20260520T191306Z,20260430_18z,2026-04-30T18:00:00+00:00,forcing/input-only,-,-,"mp_physics=8, 8, 8, 8, 8 bl_pbl_physics=5, 5, 5, 5, 5 sf_sfclay_physics=5, 5, 5, 5, 5 ra_lw_physics=4, 4, 4, 4, 4 ra_sw_physics=4, 4, 4, 4, 4 cu_physics=1, 0, 0, 0, 0",0,5,1,0,
/mnt/data/canairy_meteo/runs/wrf_l2/20260501_18z_l2_72h_20260519T173026Z,20260501_18z_l2_72h_20260519T173026Z,20260501_18z,2026-05-01T18:00:00+00:00,forcing/input-only,-,-,"mp_physics=8, 8 bl_pbl_physics=5, 5 sf_sfclay_physics=5, 5 ra_lw_physics=4, 4 ra_sw_physics=4, 4 cu_physics=1, 0",0,2,1,0,
