timestamp, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/05/28 16:55:03.985, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:04.185, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:04.386, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:04.586, 3355 MiB, 28757 MiB, 4 %
2026/05/28 16:55:04.786, 3355 MiB, 28757 MiB, 4 %
2026/05/28 16:55:04.986, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:05.186, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:05.386, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:05.586, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:05.786, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:05.991, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:06.191, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:06.391, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:06.591, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:06.791, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:06.992, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:07.192, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:07.392, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:07.592, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:07.794, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:07.994, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:08.194, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:08.394, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:08.594, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:08.794, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:08.994, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:09.194, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:09.395, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:09.598, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:09.805, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:10.005, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:10.205, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:10.407, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:10.607, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:10.808, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:11.008, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:11.208, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:11.408, 3355 MiB, 28757 MiB, 0 %
2026/05/28 16:55:11.608, 3355 MiB, 28757 MiB, 0 %
