Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.1#",PushPop,46901173,7111872672,59400,789.6,800.0,736,193344,790.9,59400,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_dynamic_update_slice_fusion.2#",PushPop,45458156,342401455,58050,783.1,768.0,736,2688,29.1,58050,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_add_fusion.1#",PushPop,45105328,5878283457,59400,759.3,768.0,704,280800,1149.8,59400,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_add_fusion.2#",PushPop,44741120,209246614,58050,770.7,768.0,736,285632,1182.8,58050,1.0,4.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1907#",PushPop,42579974,150591209,270,157703.6,152416.5,151232,412577,33808.7,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1931#",PushPop,39942770,162765551,270,147936.2,147809.0,146624,172896,1687.6,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1922#",PushPop,39222082,155977071,270,145267.0,144000.0,142720,154336,2133.1,35640,132.0,2.0,132.0
TSL:Thunk:#hlo_op=cond.1.clone.1#,PushPop,38520345,2510790814,270,142667.9,90880.5,16064,3055845,293943.6,540,2.0,2.0,1.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1913#",PushPop,38356026,149407358,270,142059.4,136336.5,135648,1130146,61723.4,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1904#",PushPop,37668918,161922327,270,139514.5,139296.0,138432,155681,1463.7,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1916#",PushPop,37631315,155297220,270,139375.2,139520.0,136704,149121,2301.8,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip),hlo_op=while.1928#",PushPop,36984560,151353421,270,136979.9,136672.0,135840,157152,2016.5,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.2204#",PushPop,34823439,170639223,270,128975.7,127904.0,127200,155361,3929.2,35640,132.0,2.0,132.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=while.2207#",PushPop,34480731,147977404,270,127706.4,123008.0,122240,197344,12073.2,34830,129.0,2.0,129.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion.5#",PushPop,18984762,40662376,11880,1598.0,1568.0,1312,260288,3696.8,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body,hlo_op=loop_divide_multiply_select_fusion.1#",PushPop,18758780,5947309,270,69477.0,69472.0,68928,70688,187.0,270,1.0,2.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion.10#",PushPop,17099636,45110828,11880,1439.4,1376.0,1280,4256,108.7,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion.8#",PushPop,16504476,40696190,11880,1389.3,1376.0,1088,4256,225.2,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion#",PushPop,14931352,40840865,11880,1256.8,1312.0,1088,2752,135.0,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion.7#",PushPop,14924474,45700908,11880,1256.3,1120.0,1088,1920,186.0,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion.6#",PushPop,14308751,41699903,11880,1204.4,1120.0,1056,193216,1765.2,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/jit(step_thompson_column_with_precip)/while/body,hlo_op=loop_select_fusion.9#",PushPop,14135761,42800174,11880,1189.9,1120.0,1056,2176,142.1,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_reverse_fusion.3#",PushPop,12398239,10789693,2700,4591.9,4544.0,4352,5376,146.8,2700,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_multiply_fusion.7#",PushPop,11769578,48853544,11880,990.7,992.0,928,3232,80.5,11880,1.0,3.0,0.0
"TSL:Thunk:#name=jit(_run_forecast_operational_jit)/while/body/closed_call/while/body/closed_call,hlo_op=loop_subtract_fusion.8#",PushPop,10871186,41645036,11610,936.4,928.0,896,2720,49.6,11610,1.0,3.0,0.0
TSL:Thunk:#hlo_op=input_reduce_fusion.22#,PushPop,9697360,1449771,270,35916.1,35904.0,35616,36159,97.4,270,1.0,2.0,0.0
