Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
"TSL:XlaModule:#hlo_module=jit_arctan,program_id=13#",PushPop,9728,106240,6,1621.3,1616.0,1600,1664,26.1,6,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_true_divide,program_id=249#",PushPop,8864,32100,1,8864.0,8864.0,8864,8864,0.0,1,1.0,0.0,1.0
"TSL:Thunk:#name=jit(add)/add,hlo_op=loop_add_fusion#",PushPop,8384,76470,10,838.4,816.0,736,1088,97.5,10,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_where),hlo_op=loop_select_fusion#",PushPop,7520,39940,6,1253.3,912.0,896,2976,844.1,6,1.0,1.0,0.0
TSL:Thunk:#hlo_op=loop_dynamic_update_slice_fusion#,PushPop,7104,25340,8,888.0,896.0,768,960,61.1,8,1.0,1.0,0.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=61#",PushPop,6944,149341,9,771.6,768.0,736,800,25.0,9,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_convert_element_type,program_id=269#",PushPop,6752,42281,2,3376.0,3376.0,2304,4448,1516.0,2,1.0,0.0,1.0
TSL:Thunk:#hlo_op=loop_multiply_fusion#,PushPop,6624,27810,2,3312.0,3312.0,3200,3424,158.4,2,1.0,1.0,0.0
TSL:Thunk:#hlo_op=copy.2#,PushPop,6370,73140,8,796.3,768.5,736,928,71.3,8,1.0,1.0,0.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_broadcast_in_dim,program_id=63#",PushPop,6304,84721,8,788.0,784.0,768,832,23.8,8,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_multiply,program_id=15#",PushPop,5856,103822,6,976.0,800.0,768,1856,431.6,6,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_true_divide,program_id=27#",PushPop,5792,382883,4,1448.0,1328.0,1280,1856,273.3,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=7#",PushPop,5472,108421,6,912.0,928.0,832,992,69.4,6,1.0,0.0,1.0
"TSL:XlaModule:#prefix=args[0],hlo_module=jit_convert_element_type,program_id=267#",PushPop,5472,85570,7,781.7,768.0,736,864,40.7,7,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_dynamic_slice,program_id=55#",PushPop,5376,72810,6,896.0,784.0,768,1280,207.4,6,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_add,program_id=17#",PushPop,5216,102441,6,869.3,832.0,768,1088,115.2,6,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_subtract,program_id=11#",PushPop,5088,122260,6,848.0,816.0,768,1088,121.0,6,1.0,0.0,1.0
"TSL:Thunk:#name=jit(greater)/gt,hlo_op=loop_compare_fusion#",PushPop,4896,31741,4,1224.0,992.0,800,2112,601.2,4,1.0,1.0,0.0
"TSL:Thunk:#name=jit(_where)/select_n,hlo_op=wrapped_select#",PushPop,4704,29750,5,940.8,928.0,896,1024,48.5,5,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit__where,program_id=173#",PushPop,4704,59220,5,940.8,928.0,896,1024,48.5,5,1.0,0.0,1.0
"TSL:Thunk:#name=args[1],hlo_op=loop_dynamic_slice_fusion#",PushPop,4640,31451,5,928.0,896.0,864,1024,75.0,5,1.0,1.0,0.0
TSL:Thunk:#hlo_op=input_reduce_fusion.1#,PushPop,4512,11630,2,2256.0,2256.0,2240,2272,22.6,2,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_dynamic_slice,program_id=225#",PushPop,4480,45890,2,2240.0,2240.0,1664,2816,814.6,2,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_broadcast_in_dim,program_id=137#",PushPop,4224,55310,4,1056.0,1024.0,1024,1152,64.0,4,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_clip,program_id=147#",PushPop,4160,85971,4,1040.0,1008.0,960,1184,99.5,4,1.0,0.0,1.0
"TSL:Thunk:#name=jit(maximum)/max,hlo_op=loop_maximum_fusion#",PushPop,4128,19880,2,2064.0,2064.0,864,3264,1697.1,2,1.0,1.0,0.0
"TSL:XlaModule:#hlo_module=jit_clip,program_id=151#",PushPop,4064,72190,3,1354.7,1344.0,1344,1376,18.5,3,1.0,0.0,1.0
"TSL:XlaModule:#hlo_module=jit_true_divide,program_id=21#",PushPop,4064,251193,4,1016.0,1008.0,960,1088,54.7,4,1.0,0.0,1.0
